>>> %Run -c $EDITOR_CONTENT
DAC25: 0  ADC34: 1075 bits , 0.866 V  ADC35: 288 bits , 0.232 V
DAC25: 33  ADC34: 1425 bits , 1.148 V  ADC35: 1990 bits , 1.604 V
DAC25: 34  ADC34: 1437 bits , 1.158 V  ADC35: 2035 bits , 1.640 V
DAC25: 35  ADC34: 1443 bits , 1.163 V  ADC35: 2096 bits , 1.689 V
DAC25: 36  ADC34: 1456 bits , 1.173 V  ADC35: 2160 bits , 1.741 V
DAC25: 37  ADC34: 1465 bits , 1.181 V  ADC35: 2208 bits , 1.779 V
DAC25: 38  ADC34: 1473 bits , 1.187 V  ADC35: 2255 bits , 1.817 V
DAC25: 39  ADC34: 1482 bits , 1.194 V  ADC35: 2306 bits , 1.858 V
DAC25: 40  ADC34: 1497 bits , 1.206 V  ADC35: 2352 bits , 1.895 V
DAC25: 41  ADC34: 1505 bits , 1.213 V  ADC35: 2407 bits , 1.940 V
DAC25: 42  ADC34: 1518 bits , 1.223 V  ADC35: 2459 bits , 1.982 V
DAC25: 43  ADC34: 1524 bits , 1.228 V  ADC35: 2510 bits , 2.023 V
DAC25: 44  ADC34: 1533 bits , 1.235 V  ADC35: 2575 bits , 2.075 V
DAC25: 45  ADC34: 1552 bits , 1.251 V  ADC35: 2615 bits , 2.107 V
DAC25: 46  ADC34: 1561 bits , 1.258 V  ADC35: 2672 bits , 2.153 V
DAC25: 47  ADC34: 1568 bits , 1.264 V  ADC35: 2722 bits , 2.194 V
DAC25: 48  ADC34: 1581 bits , 1.274 V  ADC35: 2780 bits , 2.240 V
DAC25: 49  ADC34: 1588 bits , 1.280 V  ADC35: 2823 bits , 2.275 V
DAC25: 50  ADC34: 1600 bits , 1.289 V  ADC35: 2873 bits , 2.315 V
DAC25: 51  ADC34: 1607 bits , 1.295 V  ADC35: 2925 bits , 2.357 V
DAC25: 52  ADC34: 1617 bits , 1.303 V  ADC35: 2977 bits , 2.399 V
DAC25: 53  ADC34: 1626 bits , 1.310 V  ADC35: 3029 bits , 2.441 V
DAC25: 54  ADC34: 1639 bits , 1.321 V  ADC35: 3085 bits , 2.486 V
DAC25: 55  ADC34: 1648 bits , 1.328 V  ADC35: 3133 bits , 2.525 V
DAC25: 56  ADC34: 1654 bits , 1.333 V  ADC35: 3185 bits , 2.567 V
DAC25: 57  ADC34: 1667 bits , 1.343 V  ADC35: 3234 bits , 2.606 V
DAC25: 58  ADC34: 1680 bits , 1.354 V  ADC35: 3283 bits , 2.646 V
DAC25: 59  ADC34: 1688 bits , 1.360 V  ADC35: 3339 bits , 2.691 V
DAC25: 60  ADC34: 1697 bits , 1.368 V  ADC35: 3399 bits , 2.739 V
DAC25: 61  ADC34: 1712 bits , 1.380 V  ADC35: 3454 bits , 2.783 V
DAC25: 62  ADC34: 1718 bits , 1.384 V  ADC35: 3510 bits , 2.829 V
DAC25: 63  ADC34: 1727 bits , 1.392 V  ADC35: 3563 bits , 2.871 V
DAC25: 64  ADC34: 1737 bits , 1.400 V  ADC35: 3595 bits , 2.897 V
DAC25: 65  ADC34: 1744 bits , 1.405 V  ADC35: 3652 bits , 2.943 V
DAC25: 66  ADC34: 1751 bits , 1.411 V  ADC35: 3702 bits , 2.983 V
DAC25: 67  ADC34: 1767 bits , 1.424 V  ADC35: 3750 bits , 3.022 V
DAC25: 68  ADC34: 1770 bits , 1.426 V  ADC35: 3804 bits , 3.065 V
DAC25: 69  ADC34: 1782 bits , 1.436 V  ADC35: 3857 bits , 3.108 V
DAC25: 70  ADC34: 1799 bits , 1.450 V  ADC35: 3905 bits , 3.147 V
DAC25: 71  ADC34: 1804 bits , 1.454 V  ADC35: 3962 bits , 3.193 V
DAC25: 72  ADC34: 1813 bits , 1.461 V  ADC35: 4014 bits , 3.235 V
DAC25: 73  ADC34: 1823 bits , 1.469 V  ADC35: 4065 bits , 3.276 V
DAC25: 74  ADC34: 1835 bits , 1.479 V  ADC35: 4095 bits , 3.300 V
DAC25: 75  ADC34: 1840 bits , 1.483 V  ADC35: 4095 bits , 3.300 V
DAC25: 76  ADC34: 1850 bits , 1.491 V  ADC35: 4095 bits , 3.300 V
DAC25: 77  ADC34: 1863 bits , 1.501 V  ADC35: 4095 bits , 3.300 V
DAC25: 78  ADC34: 1872 bits , 1.509 V  ADC35: 4095 bits , 3.300 V
DAC25: 79  ADC34: 1883 bits , 1.517 V  ADC35: 4095 bits , 3.300 V
DAC25: 80  ADC34: 1891 bits , 1.524 V  ADC35: 4095 bits , 3.300 V
DAC25: 81  ADC34: 1902 bits , 1.533 V  ADC35: 4095 bits , 3.300 V
DAC25: 82  ADC34: 1907 bits , 1.537 V  ADC35: 4095 bits , 3.300 V
DAC25: 83  ADC34: 1919 bits , 1.546 V  ADC35: 4095 bits , 3.300 V
DAC25: 84  ADC34: 1929 bits , 1.555 V  ADC35: 4095 bits , 3.300 V
DAC25: 85  ADC34: 1939 bits , 1.563 V  ADC35: 4095 bits , 3.300 V
DAC25: 86  ADC34: 1947 bits , 1.569 V  ADC35: 4095 bits , 3.300 V
DAC25: 87  ADC34: 1958 bits , 1.578 V  ADC35: 4095 bits , 3.300 V
DAC25: 88  ADC34: 1968 bits , 1.586 V  ADC35: 4095 bits , 3.300 V
DAC25: 89  ADC34: 1975 bits , 1.592 V  ADC35: 4095 bits , 3.300 V
DAC25: 90  ADC34: 1985 bits , 1.600 V  ADC35: 4095 bits , 3.300 V
DAC25: 91  ADC34: 2000 bits , 1.612 V  ADC35: 4095 bits , 3.300 V
DAC25: 92  ADC34: 2005 bits , 1.616 V  ADC35: 4095 bits , 3.300 V
DAC25: 93  ADC34: 2016 bits , 1.625 V  ADC35: 4095 bits , 3.300 V
DAC25: 94  ADC34: 2030 bits , 1.636 V  ADC35: 4095 bits , 3.300 V
DAC25: 95  ADC34: 2034 bits , 1.639 V  ADC35: 4095 bits , 3.300 V
DAC25: 96  ADC34: 2046 bits , 1.649 V  ADC35: 4095 bits , 3.300 V
DAC25: 97  ADC34: 2063 bits , 1.662 V  ADC35: 4095 bits , 3.300 V
DAC25: 98  ADC34: 2074 bits , 1.671 V  ADC35: 4095 bits , 3.300 V
DAC25: 99  ADC34: 2080 bits , 1.676 V  ADC35: 4095 bits , 3.300 V
DAC25: 100  ADC34: 2093 bits , 1.687 V  ADC35: 4095 bits , 3.300 V
DAC25: 101  ADC34: 2100 bits , 1.692 V  ADC35: 4095 bits , 3.300 V
DAC25: 102  ADC34: 2108 bits , 1.699 V  ADC35: 4095 bits , 3.300 V
DAC25: 103  ADC34: 2121 bits , 1.709 V  ADC35: 4095 bits , 3.300 V
DAC25: 104  ADC34: 2126 bits , 1.713 V  ADC35: 4095 bits , 3.300 V
DAC25: 105  ADC34: 2137 bits , 1.722 V  ADC35: 4095 bits , 3.300 V
DAC25: 106  ADC34: 2154 bits , 1.736 V  ADC35: 4095 bits , 3.300 V
DAC25: 107  ADC34: 2160 bits , 1.741 V  ADC35: 4095 bits , 3.300 V
DAC25: 108  ADC34: 2167 bits , 1.746 V  ADC35: 4095 bits , 3.300 V
DAC25: 109  ADC34: 2178 bits , 1.755 V  ADC35: 4095 bits , 3.300 V
DAC25: 110  ADC34: 2189 bits , 1.764 V  ADC35: 4095 bits , 3.300 V
DAC25: 111  ADC34: 2195 bits , 1.769 V  ADC35: 4095 bits , 3.300 V
DAC25: 112  ADC34: 2210 bits , 1.781 V  ADC35: 4095 bits , 3.300 V
DAC25: 113  ADC34: 2215 bits , 1.785 V  ADC35: 4095 bits , 3.300 V
DAC25: 114  ADC34: 2224 bits , 1.792 V  ADC35: 4095 bits , 3.300 V
DAC25: 115  ADC34: 2236 bits , 1.802 V  ADC35: 4095 bits , 3.300 V
DAC25: 116  ADC34: 2245 bits , 1.809 V  ADC35: 4095 bits , 3.300 V
DAC25: 117  ADC34: 2255 bits , 1.817 V  ADC35: 4095 bits , 3.300 V
DAC25: 118  ADC34: 2265 bits , 1.825 V  ADC35: 4095 bits , 3.300 V
DAC25: 119  ADC34: 2269 bits , 1.828 V  ADC35: 4095 bits , 3.300 V
DAC25: 120  ADC34: 2279 bits , 1.837 V  ADC35: 4095 bits , 3.300 V
DAC25: 121  ADC34: 2291 bits , 1.846 V  ADC35: 4095 bits , 3.300 V
DAC25: 122  ADC34: 2304 bits , 1.857 V  ADC35: 4095 bits , 3.300 V
DAC25: 123  ADC34: 2309 bits , 1.861 V  ADC35: 4095 bits , 3.300 V
DAC25: 124  ADC34: 2324 bits , 1.873 V  ADC35: 4095 bits , 3.300 V
DAC25: 125  ADC34: 2327 bits , 1.875 V  ADC35: 4095 bits , 3.300 V
DAC25: 126  ADC34: 2341 bits , 1.887 V  ADC35: 4095 bits , 3.300 V
DAC25: 127  ADC34: 2351 bits , 1.895 V  ADC35: 4095 bits , 3.300 V
DAC25: 128  ADC34: 2377 bits , 1.916 V  ADC35: 4095 bits , 3.300 V
DAC25: 129  ADC34: 2383 bits , 1.920 V  ADC35: 4095 bits , 3.300 V
DAC25: 130  ADC34: 2395 bits , 1.930 V  ADC35: 4095 bits , 3.300 V
DAC25: 131  ADC34: 2401 bits , 1.935 V  ADC35: 4095 bits , 3.300 V
DAC25: 132  ADC34: 2413 bits , 1.945 V  ADC35: 4095 bits , 3.300 V
DAC25: 133  ADC34: 2419 bits , 1.949 V  ADC35: 4095 bits , 3.300 V
DAC25: 134  ADC34: 2429 bits , 1.957 V  ADC35: 4095 bits , 3.300 V
DAC25: 135  ADC34: 2437 bits , 1.964 V  ADC35: 4095 bits , 3.300 V
DAC25: 136  ADC34: 2449 bits , 1.974 V  ADC35: 4095 bits , 3.300 V
DAC25: 137  ADC34: 2459 bits , 1.982 V  ADC35: 4095 bits , 3.300 V
DAC25: 138  ADC34: 2470 bits , 1.990 V  ADC35: 4095 bits , 3.300 V
DAC25: 139  ADC34: 2479 bits , 1.998 V  ADC35: 4095 bits , 3.300 V
DAC25: 140  ADC34: 2487 bits , 2.004 V  ADC35: 4095 bits , 3.300 V
DAC25: 141  ADC34: 2498 bits , 2.013 V  ADC35: 4095 bits , 3.300 V
DAC25: 142  ADC34: 2509 bits , 2.022 V  ADC35: 4095 bits , 3.300 V
DAC25: 143  ADC34: 2515 bits , 2.027 V  ADC35: 4095 bits , 3.300 V
DAC25: 144  ADC34: 2525 bits , 2.035 V  ADC35: 4095 bits , 3.300 V
DAC25: 145  ADC34: 2541 bits , 2.048 V  ADC35: 4095 bits , 3.300 V
DAC25: 146  ADC34: 2545 bits , 2.051 V  ADC35: 4095 bits , 3.300 V
DAC25: 147  ADC34: 2551 bits , 2.056 V  ADC35: 4095 bits , 3.300 V
DAC25: 148  ADC34: 2559 bits , 2.062 V  ADC35: 4095 bits , 3.300 V
DAC25: 149  ADC34: 2576 bits , 2.076 V  ADC35: 4095 bits , 3.300 V
DAC25: 150  ADC34: 2583 bits , 2.082 V  ADC35: 4095 bits , 3.300 V
DAC25: 151  ADC34: 2603 bits , 2.098 V  ADC35: 4095 bits , 3.300 V
DAC25: 152  ADC34: 2608 bits , 2.102 V  ADC35: 4095 bits , 3.300 V
DAC25: 153  ADC34: 2615 bits , 2.107 V  ADC35: 4095 bits , 3.300 V
DAC25: 154  ADC34: 2624 bits , 2.115 V  ADC35: 4095 bits , 3.300 V
DAC25: 155  ADC34: 2635 bits , 2.123 V  ADC35: 4095 bits , 3.300 V
DAC25: 156  ADC34: 2640 bits , 2.127 V  ADC35: 4095 bits , 3.300 V
DAC25: 157  ADC34: 2650 bits , 2.136 V  ADC35: 4095 bits , 3.300 V
DAC25: 158  ADC34: 2661 bits , 2.144 V  ADC35: 4095 bits , 3.300 V
DAC25: 159  ADC34: 2672 bits , 2.153 V  ADC35: 4095 bits , 3.300 V
DAC25: 160  ADC34: 2681 bits , 2.161 V  ADC35: 4095 bits , 3.300 V
DAC25: 161  ADC34: 2691 bits , 2.169 V  ADC35: 4095 bits , 3.300 V
DAC25: 162  ADC34: 2704 bits , 2.179 V  ADC35: 4095 bits , 3.300 V
DAC25: 163  ADC34: 2710 bits , 2.184 V  ADC35: 4095 bits , 3.300 V
DAC25: 164  ADC34: 2726 bits , 2.197 V  ADC35: 4095 bits , 3.300 V
DAC25: 165  ADC34: 2735 bits , 2.204 V  ADC35: 4095 bits , 3.300 V
DAC25: 166  ADC34: 2741 bits , 2.209 V  ADC35: 4095 bits , 3.300 V
DAC25: 167  ADC34: 2749 bits , 2.215 V  ADC35: 4095 bits , 3.300 V
DAC25: 168  ADC34: 2763 bits , 2.227 V  ADC35: 4095 bits , 3.300 V
DAC25: 169  ADC34: 2768 bits , 2.231 V  ADC35: 4095 bits , 3.300 V
DAC25: 170  ADC34: 2781 bits , 2.241 V  ADC35: 4095 bits , 3.300 V
DAC25: 171  ADC34: 2782 bits , 2.242 V  ADC35: 4095 bits , 3.300 V
DAC25: 172  ADC34: 2800 bits , 2.256 V  ADC35: 4095 bits , 3.300 V
DAC25: 173  ADC34: 2804 bits , 2.260 V  ADC35: 4095 bits , 3.300 V
DAC25: 174  ADC34: 2816 bits , 2.269 V  ADC35: 4095 bits , 3.300 V
DAC25: 175  ADC34: 2828 bits , 2.279 V  ADC35: 4095 bits , 3.300 V
DAC25: 176  ADC34: 2833 bits , 2.283 V  ADC35: 4095 bits , 3.300 V
DAC25: 177  ADC34: 2841 bits , 2.289 V  ADC35: 4095 bits , 3.300 V
DAC25: 178  ADC34: 2851 bits , 2.298 V  ADC35: 4095 bits , 3.300 V
DAC25: 179  ADC34: 2864 bits , 2.308 V  ADC35: 4095 bits , 3.300 V
DAC25: 180  ADC34: 2875 bits , 2.317 V  ADC35: 4095 bits , 3.300 V
DAC25: 181  ADC34: 2881 bits , 2.322 V  ADC35: 4095 bits , 3.300 V
DAC25: 182  ADC34: 2891 bits , 2.330 V  ADC35: 4095 bits , 3.300 V
DAC25: 183  ADC34: 2899 bits , 2.336 V  ADC35: 4095 bits , 3.300 V
DAC25: 184  ADC34: 2913 bits , 2.347 V  ADC35: 4095 bits , 3.300 V
DAC25: 185  ADC34: 2923 bits , 2.356 V  ADC35: 4095 bits , 3.300 V
DAC25: 186  ADC34: 2928 bits , 2.360 V  ADC35: 4095 bits , 3.300 V
DAC25: 187  ADC34: 2941 bits , 2.370 V  ADC35: 4095 bits , 3.300 V
DAC25: 188  ADC34: 2957 bits , 2.383 V  ADC35: 4095 bits , 3.300 V
DAC25: 189  ADC34: 2960 bits , 2.385 V  ADC35: 4095 bits , 3.300 V
DAC25: 190  ADC34: 2970 bits , 2.393 V  ADC35: 4095 bits , 3.300 V
DAC25: 191  ADC34: 2979 bits , 2.401 V  ADC35: 4095 bits , 3.300 V
DAC25: 192  ADC34: 2985 bits , 2.405 V  ADC35: 4095 bits , 3.300 V
DAC25: 193  ADC34: 2993 bits , 2.412 V  ADC35: 4095 bits , 3.300 V
DAC25: 194  ADC34: 3009 bits , 2.425 V  ADC35: 4095 bits , 3.300 V
DAC25: 195  ADC34: 3012 bits , 2.427 V  ADC35: 4095 bits , 3.300 V
DAC25: 196  ADC34: 3024 bits , 2.437 V  ADC35: 4095 bits , 3.300 V
DAC25: 197  ADC34: 3033 bits , 2.444 V  ADC35: 4095 bits , 3.300 V
DAC25: 198  ADC34: 3047 bits , 2.455 V  ADC35: 4095 bits , 3.300 V
DAC25: 199  ADC34: 3054 bits , 2.461 V  ADC35: 4095 bits , 3.300 V
DAC25: 200  ADC34: 3058 bits , 2.464 V  ADC35: 4095 bits , 3.300 V
DAC25: 201  ADC34: 3078 bits , 2.480 V  ADC35: 4095 bits , 3.300 V
DAC25: 202  ADC34: 3085 bits , 2.486 V  ADC35: 4095 bits , 3.300 V
DAC25: 203  ADC34: 3094 bits , 2.493 V  ADC35: 4095 bits , 3.300 V
DAC25: 204  ADC34: 3106 bits , 2.503 V  ADC35: 4095 bits , 3.300 V
DAC25: 205  ADC34: 3118 bits , 2.513 V  ADC35: 4095 bits , 3.300 V
DAC25: 206  ADC34: 3129 bits , 2.522 V  ADC35: 4095 bits , 3.300 V
DAC25: 207  ADC34: 3133 bits , 2.525 V  ADC35: 4095 bits , 3.300 V
DAC25: 208  ADC34: 3143 bits , 2.533 V  ADC35: 4095 bits , 3.300 V
DAC25: 209  ADC34: 3152 bits , 2.540 V  ADC35: 4095 bits , 3.300 V
DAC25: 210  ADC34: 3161 bits , 2.547 V  ADC35: 4095 bits , 3.300 V
DAC25: 211  ADC34: 3175 bits , 2.559 V  ADC35: 4095 bits , 3.300 V
DAC25: 212  ADC34: 3183 bits , 2.565 V  ADC35: 4095 bits , 3.300 V
DAC25: 213  ADC34: 3185 bits , 2.567 V  ADC35: 4095 bits , 3.300 V
DAC25: 214  ADC34: 3197 bits , 2.576 V  ADC35: 4095 bits , 3.300 V
DAC25: 215  ADC34: 3215 bits , 2.591 V  ADC35: 4095 bits , 3.300 V
DAC25: 216  ADC34: 3216 bits , 2.592 V  ADC35: 4095 bits , 3.300 V
DAC25: 217  ADC34: 3227 bits , 2.601 V  ADC35: 4095 bits , 3.300 V
DAC25: 218  ADC34: 3236 bits , 2.608 V  ADC35: 4095 bits , 3.300 V
DAC25: 219  ADC34: 3247 bits , 2.617 V  ADC35: 4095 bits , 3.300 V
DAC25: 220  ADC34: 3258 bits , 2.625 V  ADC35: 4095 bits , 3.300 V
DAC25: 221  ADC34: 3266 bits , 2.632 V  ADC35: 4095 bits , 3.300 V
DAC25: 222  ADC34: 3277 bits , 2.641 V  ADC35: 4095 bits , 3.300 V
DAC25: 223  ADC34: 3283 bits , 2.646 V  ADC35: 4095 bits , 3.300 V
DAC25: 224  ADC34: 3294 bits , 2.655 V  ADC35: 4095 bits , 3.300 V
DAC25: 225  ADC34: 3309 bits , 2.667 V  ADC35: 4095 bits , 3.300 V
DAC25: 226  ADC34: 3312 bits , 2.669 V  ADC35: 4095 bits , 3.300 V
DAC25: 227  ADC34: 3325 bits , 2.679 V  ADC35: 4095 bits , 3.300 V
DAC25: 228  ADC34: 3332 bits , 2.685 V  ADC35: 4095 bits , 3.300 V
DAC25: 229  ADC34: 3343 bits , 2.694 V  ADC35: 4095 bits , 3.300 V
DAC25: 230  ADC34: 3351 bits , 2.700 V  ADC35: 4095 bits , 3.300 V
DAC25: 231  ADC34: 3361 bits , 2.708 V  ADC35: 4095 bits , 3.300 V
DAC25: 232  ADC34: 3375 bits , 2.720 V  ADC35: 4095 bits , 3.300 V
DAC25: 233  ADC34: 3379 bits , 2.723 V  ADC35: 4095 bits , 3.300 V
DAC25: 234  ADC34: 3392 bits , 2.733 V  ADC35: 4095 bits , 3.300 V
DAC25: 235  ADC34: 3401 bits , 2.741 V  ADC35: 4095 bits , 3.300 V
DAC25: 236  ADC34: 3408 bits , 2.746 V  ADC35: 4095 bits , 3.300 V
DAC25: 237  ADC34: 3415 bits , 2.752 V  ADC35: 4095 bits , 3.300 V
DAC25: 238  ADC34: 3434 bits , 2.767 V  ADC35: 4095 bits , 3.300 V
DAC25: 239  ADC34: 3440 bits , 2.772 V  ADC35: 4095 bits , 3.300 V
DAC25: 240  ADC34: 3440 bits , 2.772 V  ADC35: 4095 bits , 3.300 V
DAC25: 241  ADC34: 3456 bits , 2.785 V  ADC35: 4095 bits , 3.300 V
DAC25: 242  ADC34: 3458 bits , 2.787 V  ADC35: 4095 bits , 3.300 V
DAC25: 243  ADC34: 3473 bits , 2.799 V  ADC35: 4095 bits , 3.300 V
DAC25: 244  ADC34: 3479 bits , 2.804 V  ADC35: 4095 bits , 3.300 V
DAC25: 245  ADC34: 3491 bits , 2.813 V  ADC35: 4095 bits , 3.300 V
DAC25: 246  ADC34: 3504 bits , 2.824 V  ADC35: 4095 bits , 3.300 V
DAC25: 247  ADC34: 3509 bits , 2.828 V  ADC35: 4095 bits , 3.300 V
DAC25: 248  ADC34: 3520 bits , 2.837 V  ADC35: 4095 bits , 3.300 V
DAC25: 249  ADC34: 3529 bits , 2.844 V  ADC35: 4095 bits , 3.300 V
DAC25: 250  ADC34: 3536 bits , 2.850 V  ADC35: 4095 bits , 3.300 V
DAC25: 251  ADC34: 3545 bits , 2.857 V  ADC35: 4095 bits , 3.300 V
DAC25: 252  ADC34: 3557 bits , 2.866 V  ADC35: 4095 bits , 3.300 V
DAC25: 253  ADC34: 3564 bits , 2.872 V  ADC35: 4095 bits , 3.300 V
DAC25: 254  ADC34: 3572 bits , 2.879 V  ADC35: 4095 bits , 3.300 V
Ending iteration with: DAC25: 0  ADC34: 3572 bits , 2.879 V  ADC35: 4095 bits , 3.300 V
Fitxer guardat: mesures_vermell.csv
